Time	u	y
    0	0.18518	     7
  100	0.18518	     7
  200	0.18518	     7
  300	0.18518	     7
  400	0.18518	     7
  500	0.18518	     7
  600	0.18518	     7
  700	0.18518	     7
  800	0.18518	     7
  900	0.18518	     7
 1000	 1.1852	     7
 1100	 1.1852	6.9996
 1200	 1.1852	6.9974
 1300	 1.1852	6.9919
 1400	 1.1852	6.9821
 1500	 1.1852	 6.967
 1600	 1.1852	6.9463
 1700	 1.1852	6.9196
 1800	 1.1852	6.8869
 1900	 1.1852	6.8481
 2000	 1.1852	6.8036
 2100	 1.1852	6.7537
 2200	 1.1852	6.6987
 2300	 1.1852	6.6388
 2400	 1.1852	6.5747
 2500	 1.1852	6.5071
 2600	 1.1852	6.4362
 2700	 1.1852	6.3621
 2800	 1.1852	6.2857
 2900	 1.1852	6.2075
 3000	 1.1852	6.1279
 3100	 1.1852	6.0474
 3200	 1.1852	5.9663
 3300	 1.1852	5.8851
 3400	 1.1852	5.8039
 3500	 1.1852	5.7232
 3600	 1.1852	5.6432
 3700	 1.1852	5.5642
 3800	 1.1852	5.4864
 3900	 1.1852	5.4099
 4000	 1.1852	5.3349
 4100	 1.1852	5.2616
 4200	 1.1852	5.1901
 4300	 1.1852	5.1204
 4400	 1.1852	5.0527
 4500	 1.1852	 4.987
 4600	 1.1852	4.9234
 4700	 1.1852	4.8618
 4800	 1.1852	4.8023
 4900	 1.1852	 4.745
 5000	 1.1852	4.6897
 5100	 1.1852	4.6364
 5200	 1.1852	4.5852
 5300	 1.1852	 4.536
 5400	 1.1852	4.4888
 5500	 1.1852	4.4436
 5600	 1.1852	4.4002
 5700	 1.1852	4.3586
 5800	 1.1852	4.3188
 5900	 1.1852	4.2808
 6000	 1.1852	4.2444
 6100	 1.1852	4.2096
 6200	 1.1852	4.1764
 6300	 1.1852	4.1447
 6400	 1.1852	4.1145
 6500	 1.1852	4.0856
 6600	 1.1852	4.0581
 6700	 1.1852	4.0318
 6800	 1.1852	4.0068
 6900	 1.1852	3.9829
 7000	 1.1852	3.9602
 7100	 1.1852	3.9386
 7200	 1.1852	3.9179
 7300	 1.1852	3.8983
 7400	 1.1852	3.8796
 7500	 1.1852	3.8618
 7600	 1.1852	3.8448
 7700	 1.1852	3.8286
 7800	 1.1852	3.8132
 7900	 1.1852	3.7986
 8000	 1.1852	3.7846
 8100	 1.1852	3.7713
 8200	 1.1852	3.7587
 8300	 1.1852	3.7467
 8400	 1.1852	3.7352
 8500	 1.1852	3.7243
 8600	 1.1852	3.7138
 8700	 1.1852	3.7039
 8800	 1.1852	3.6945
 8900	 1.1852	3.6855
 9000	 1.1852	3.6769
 9100	 1.1852	3.6688
 9200	 1.1852	 3.661
 9300	 1.1852	3.6536
 9400	 1.1852	3.6465
 9500	 1.1852	3.6398
 9600	 1.1852	3.6333
 9700	 1.1852	3.6272
 9800	 1.1852	3.6214
 9900	 1.1852	3.6158
10000	 1.1852	3.6105
10100	 1.1852	3.6054
10200	 1.1852	3.6006
10300	 1.1852	 3.596
10400	 1.1852	3.5916
10500	 1.1852	3.5874
10600	 1.1852	3.5834
10700	 1.1852	3.5795
10800	 1.1852	3.5759
10900	 1.1852	3.5724
11000	 1.1852	3.5691
11100	 1.1852	3.5659
11200	 1.1852	3.5628
11300	 1.1852	3.5599
11400	 1.1852	3.5571
11500	 1.1852	3.5545
11600	 1.1852	3.5519
11700	 1.1852	3.5495
11800	 1.1852	3.5472
11900	 1.1852	 3.545
12000	 1.1852	3.5429
12100	 1.1852	3.5408
12200	 1.1852	3.5389
12300	 1.1852	 3.537
12400	 1.1852	3.5353
12500	 1.1852	3.5336
12600	 1.1852	3.5319
12700	 1.1852	3.5304
12800	 1.1852	3.5289
12900	 1.1852	3.5275
13000	 1.1852	3.5261
13100	 1.1852	3.5248
13200	 1.1852	3.5236
13300	 1.1852	3.5224
13400	 1.1852	3.5212
13500	 1.1852	3.5202
13600	 1.1852	3.5191
13700	 1.1852	3.5181
13800	 1.1852	3.5171
13900	 1.1852	3.5162
14000	 1.1852	3.5153
14100	 1.1852	3.5145
14200	 1.1852	3.5137
14300	 1.1852	3.5129
14400	 1.1852	3.5122
14500	 1.1852	3.5115
14600	 1.1852	3.5108
14700	 1.1852	3.5101
14800	 1.1852	3.5095
14900	 1.1852	3.5089
15000	 1.1852	3.5084
15100	 1.1852	3.5078
15200	 1.1852	3.5073
15300	 1.1852	3.5068
15400	 1.1852	3.5063
15500	 1.1852	3.5058
15600	 1.1852	3.5054
15700	 1.1852	 3.505
15800	 1.1852	3.5045
15900	 1.1852	3.5042
16000	 1.1852	3.5038
16100	 1.1852	3.5034
16200	 1.1852	3.5031
16300	 1.1852	3.5027
16400	 1.1852	3.5024
16500	 1.1852	3.5021
16600	 1.1852	3.5018
16700	 1.1852	3.5016
16800	 1.1852	3.5013
16900	 1.1852	 3.501
17000	 1.1852	3.5008
17100	 1.1852	3.5005
17200	 1.1852	3.5003
17300	 1.1852	3.5001
17400	 1.1852	3.4999
17500	 1.1852	3.4997
17600	 1.1852	3.4995
17700	 1.1852	3.4993
17800	 1.1852	3.4991
17900	 1.1852	 3.499
18000	 1.1852	3.4988
18100	 1.1852	3.4987
18200	 1.1852	3.4985
18300	 1.1852	3.4984
18400	 1.1852	3.4982
18500	 1.1852	3.4981
18600	 1.1852	 3.498
18700	 1.1852	3.4979
18800	 1.1852	3.4977
18900	 1.1852	3.4976
19000	 1.1852	3.4975
19100	 1.1852	3.4974
19200	 1.1852	3.4973
19300	 1.1852	3.4972
19400	 1.1852	3.4971
19500	 1.1852	 3.497
19600	 1.1852	 3.497
19700	 1.1852	3.4969
19800	 1.1852	3.4968
19900	 1.1852	3.4967
20000	 1.1852	3.4967
20100	 1.1852	3.4966
20200	 1.1852	3.4965
20300	 1.1852	3.4965
20400	 1.1852	3.4964
20500	 1.1852	3.4964
20600	 1.1852	3.4963
20700	 1.1852	3.4962
20800	 1.1852	3.4962
20900	 1.1852	3.4961
21000	 1.1852	3.4961
21100	 1.1852	3.4961
21200	 1.1852	 3.496
21300	 1.1852	 3.496
21400	 1.1852	3.4959
21500	 1.1852	3.4959
21600	 1.1852	3.4959
21700	 1.1852	3.4958
21800	 1.1852	3.4958
21900	 1.1852	3.4958
22000	 1.1852	3.4957
22100	 1.1852	3.4957
22200	 1.1852	3.4957
22300	 1.1852	3.4956
22400	 1.1852	3.4956
22500	 1.1852	3.4956
22600	 1.1852	3.4956
22700	 1.1852	3.4955
22800	 1.1852	3.4955
22900	 1.1852	3.4955
23000	 1.1852	3.4955
23100	 1.1852	3.4955
23200	 1.1852	3.4954
23300	 1.1852	3.4954
23400	 1.1852	3.4954
23500	 1.1852	3.4954
23600	 1.1852	3.4954
23700	 1.1852	3.4954
23800	 1.1852	3.4954
23900	 1.1852	3.4953
24000	 1.1852	3.4953
24100	 1.1852	3.4953
24200	 1.1852	3.4953
24300	 1.1852	3.4953
24400	 1.1852	3.4953
24500	 1.1852	3.4953
24600	 1.1852	3.4953
24700	 1.1852	3.4952
24800	 1.1852	3.4952
24900	 1.1852	3.4952
25000	 1.1852	3.4952
25100	 1.1852	3.4952
25200	 1.1852	3.4952
25300	 1.1852	3.4952
25400	 1.1852	3.4952
25500	 1.1852	3.4952
25600	 1.1852	3.4952
25700	 1.1852	3.4952
25800	 1.1852	3.4952
25900	 1.1852	3.4952
26000	 1.1852	3.4951
26100	 1.1852	3.4951
26200	 1.1852	3.4951
26300	 1.1852	3.4951
26400	 1.1852	3.4951
26500	 1.1852	3.4951
26600	 1.1852	3.4951
26700	 1.1852	3.4951
26800	 1.1852	3.4951
26900	 1.1852	3.4951
27000	 1.1852	3.4951
27100	 1.1852	3.4951
27200	 1.1852	3.4951
27300	 1.1852	3.4951
27400	 1.1852	3.4951
27500	 1.1852	3.4951
27600	 1.1852	3.4951
27700	 1.1852	3.4951
27800	 1.1852	3.4951
27900	 1.1852	3.4951
28000	 1.1852	3.4951
28100	 1.1852	3.4951
28200	 1.1852	3.4951
28300	 1.1852	3.4951
28400	 1.1852	3.4951
28500	 1.1852	3.4951
28600	 1.1852	3.4951
28700	 1.1852	3.4951
28800	 1.1852	3.4951
28900	 1.1852	 3.495
29000	 1.1852	 3.495
29100	 1.1852	 3.495
29200	 1.1852	 3.495
29300	 1.1852	 3.495
29400	 1.1852	 3.495
29500	 1.1852	 3.495
29600	 1.1852	 3.495
29700	 1.1852	 3.495
29800	 1.1852	 3.495
29900	 1.1852	 3.495
30000	 1.1852	 3.495
